Date,Signal,Next Day Open,Close,Cash,Stocks,Equity,Buy & Hold
2020-01-02,0,144.7,145.2,100.0,0.0,100.0,100.0
2020-01-03,0,141.7,141.8,100.0,0.0,100.0,97.65840220385677
2020-01-07,0,142.5,143.3,100.0,0.0,100.0,98.69146005509644
2020-01-08,0,142.7,142.3,100.0,0.0,100.0,98.00275482093666
2020-01-09,0,145.6,145.2,100.0,0.0,100.0,100.0
2020-01-10,0,150.5,150.5,100.0,0.0,100.0,103.65013774104685
2020-01-13,0,159.5,159.7,100.0,0.0,100.0,109.9862258953168
2020-01-14,0,153.0,152.5,100.0,0.0,100.0,105.0275482093664
2020-01-15,0,156.9,156.0,100.0,0.0,100.0,107.43801652892563
2020-01-16,0,154.0,153.3,100.0,0.0,100.0,105.57851239669424
2020-01-17,0,155.1,155.6,100.0,0.0,100.0,107.16253443526172
2020-01-20,0,159.3,159.3,100.0,0.0,100.0,109.71074380165291
2020-01-21,0,159.6,159.6,100.0,0.0,100.0,109.91735537190084
2020-01-22,0,166.9,166.9,100.0,0.0,100.0,114.94490358126724
2020-01-23,0,166.0,167.7,100.0,0.0,100.0,115.49586776859505
2020-01-24,0,160.0,161.8,100.0,0.0,100.0,111.43250688705236
2020-01-27,0,155.0,153.9,100.0,0.0,100.0,105.9917355371901
2020-01-28,0,155.3,155.1,100.0,0.0,100.0,106.81818181818183
2020-01-29,0,157.3,158.7,100.0,0.0,100.0,109.29752066115702
2020-01-30,0,161.0,159.0,100.0,0.0,100.0,109.50413223140497
2020-01-31,0,161.5,162.5,100.0,0.0,100.0,111.9146005509642
2020-02-03,0,167.8,167.9,100.0,0.0,100.0,115.63360881542701
2020-02-04,0,164.6,164.7,100.0,0.0,100.0,113.42975206611571
2020-02-05,0,168.0,168.0,100.0,0.0,100.0,115.70247933884299
2020-02-06,0,165.2,166.0,100.0,0.0,100.0,114.32506887052342
2020-02-07,0,162.5,162.3,100.0,0.0,100.0,111.77685950413225
2020-02-10,0,164.4,164.3,100.0,0.0,100.0,113.15426997245181
2020-02-11,0,163.2,163.1,100.0,0.0,100.0,112.32782369146007
2020-02-12,0,165.0,165.6,100.0,0.0,100.0,114.04958677685951
2020-02-13,0,167.8,167.0,100.0,0.0,100.0,115.01377410468321
2020-02-14,0,163.5,162.1,100.0,0.0,100.0,111.63911845730028
2020-02-17,0,162.1,164.6,100.0,0.0,100.0,113.36088154269973
2020-02-18,0,166.5,166.9,100.0,0.0,100.0,114.94490358126724
2020-02-19,0,169.7,169.5,100.0,0.0,100.0,116.73553719008265
2020-02-20,0,167.9,167.4,100.0,0.0,100.0,115.28925619834712
2020-02-21,0,165.7,166.8,100.0,0.0,100.0,114.87603305785126
2020-02-24,0,159.3,159.3,100.0,0.0,100.0,109.71074380165291
2020-02-25,0,157.9,157.9,100.0,0.0,100.0,108.74655647382922
2020-02-26,0,156.0,156.1,100.0,0.0,100.0,107.50688705234161
2020-02-27,0,139.4,146.0,100.0,0.0,100.0,100.55096418732784
2020-02-28,0,146.6,141.8,100.0,0.0,100.0,97.65840220385677
2020-03-02,0,153.0,151.8,100.0,0.0,100.0,104.54545454545456
2020-03-03,0,152.2,155.0,100.0,0.0,100.0,106.74931129476585
2020-03-04,0,157.4,154.7,100.0,0.0,100.0,106.54269972451792
2020-03-05,0,156.0,157.9,100.0,0.0,100.0,108.74655647382922
2020-03-06,0,145.0,156.5,100.0,0.0,100.0,107.78236914600552
2020-03-09,0,146.2,145.6,100.0,0.0,100.0,100.27548209366392
2020-03-10,0,149.0,149.0,100.0,0.0,100.0,102.61707988980717
2020-03-11,0,136.5,145.0,100.0,0.0,100.0,99.86225895316805
2020-03-12,0,127.5,125.0,100.0,0.0,100.0,86.08815426997246
2020-03-13,0,135.0,137.5,100.0,0.0,100.0,94.6969696969697
2020-03-16,0,139.8,136.0,100.0,0.0,100.0,93.66391184573004
2020-03-17,0,153.0,151.8,100.0,0.0,100.0,104.54545454545456
2020-03-18,0,143.0,148.4,100.0,0.0,100.0,102.20385674931131
2020-03-19,0,150.0,149.5,100.0,0.0,100.0,102.96143250688706
2020-03-20,0,144.0,148.2,100.0,0.0,100.0,102.06611570247934
2020-03-23,0,147.2,142.3,100.0,0.0,100.0,98.00275482093666
2020-03-24,0,150.2,149.3,100.0,0.0,100.0,102.82369146005512
2020-03-25,0,144.5,147.4,100.0,0.0,100.0,101.51515151515153
2020-03-26,0,152.2,150.5,100.0,0.0,100.0,103.65013774104685
2020-03-27,0,151.4,151.2,100.0,0.0,100.0,104.13223140495869
2020-03-30,0,161.5,162.0,100.0,0.0,100.0,111.5702479338843
2020-03-31,0,157.0,162.1,100.0,0.0,100.0,111.63911845730028
2020-04-01,0,157.5,158.0,100.0,0.0,100.0,108.8154269972452
2020-04-02,0,156.5,158.7,100.0,0.0,100.0,109.29752066115702
2020-04-03,0,168.0,164.2,100.0,0.0,100.0,113.08539944903582
2020-04-06,0,169.6,166.0,100.0,0.0,100.0,114.32506887052342
2020-04-07,0,165.0,165.2,100.0,0.0,100.0,113.7741046831956
2020-04-08,0,165.7,166.7,100.0,0.0,100.0,114.80716253443526
2020-04-09,0,169.0,168.6,100.0,0.0,100.0,116.11570247933885
2020-04-14,0,170.0,170.0,100.0,0.0,100.0,117.07988980716254
2020-04-15,0,168.8,166.1,100.0,0.0,100.0,114.3939393939394
2020-04-16,0,172.0,170.2,100.0,0.0,100.0,117.21763085399449
2020-04-17,0,184.9,186.0,100.0,0.0,100.0,128.09917355371903
2020-04-20,0,181.6,184.0,100.0,0.0,100.0,126.72176308539946
2020-04-21,0,175.8,175.9,100.0,0.0,100.0,121.14325068870525
2020-04-22,0,183.6,184.1,100.0,0.0,100.0,126.79063360881544
2020-04-23,0,183.0,188.9,100.0,0.0,100.0,130.09641873278238
2020-04-24,0,178.0,175.0,100.0,0.0,100.0,120.52341597796145
2020-04-27,0,179.7,178.0,100.0,0.0,100.0,122.58953168044079
2020-04-28,0,179.6,179.8,100.0,0.0,100.0,123.82920110192839
2020-04-29,0,174.0,173.6,100.0,0.0,100.0,119.55922865013775
2020-04-30,0,170.1,174.6,100.0,0.0,100.0,120.24793388429752
2020-05-04,0,174.0,173.7,100.0,0.0,100.0,119.62809917355372
2020-05-05,0,170.0,169.5,100.0,0.0,100.0,116.73553719008265
2020-05-06,0,168.1,167.0,100.0,0.0,100.0,115.01377410468321
2020-05-07,0,170.5,169.3,100.0,0.0,100.0,116.5977961432507
2020-05-08,0,167.9,169.0,100.0,0.0,100.0,116.39118457300276
2020-05-11,0,161.0,161.2,100.0,0.0,100.0,111.01928374655648
2020-05-12,0,155.8,157.0,100.0,0.0,100.0,108.12672176308541
2020-05-13,0,154.7,157.0,100.0,0.0,100.0,108.12672176308541
2020-05-14,0,155.0,153.8,100.0,0.0,100.0,105.92286501377413
2020-05-15,0,170.0,155.6,100.0,0.0,100.0,107.16253443526172
2020-05-18,-1,172.0,171.2,100.0,0.0,100.0,117.90633608815428
2020-05-19,0,171.0,171.5,100.0,0.0,100.0,118.11294765840222
2020-05-20,0,168.0,167.2,100.0,0.0,100.0,115.15151515151516
2020-05-21,0,165.4,167.0,100.0,0.0,100.0,115.01377410468321
2020-05-22,0,175.8,175.4,100.0,0.0,100.0,120.79889807162536
2020-05-25,0,182.0,180.8,100.0,0.0,100.0,124.51790633608817
2020-05-26,0,184.5,184.2,100.0,0.0,100.0,126.85950413223141
2020-05-27,0,179.0,174.9,100.0,0.0,100.0,120.45454545454547
2020-05-28,1,179.9,180.6,100.0,0.0,100.0,124.38016528925621
2020-05-29,0,183.6,182.6,0.0,0.5558643690939411,101.50083379655364,125.75757575757576
2020-06-01,0,181.8,182.8,0.0,0.5558643690939411,101.61200667037244,125.89531680440774
2020-06-02,0,186.1,185.7,0.0,0.5558643690939411,103.22401334074486,127.89256198347108
2020-06-03,0,191.0,194.5,0.0,0.5558643690939411,108.11561978877154,133.95316804407716
2020-06-04,0,195.8,195.0,0.0,0.5558643690939411,108.39355197331851,134.29752066115705
2020-06-05,0,191.0,191.8,0.0,0.5558643690939411,106.6147859922179,132.09366391184577
2020-06-08,0,190.0,190.1,0.0,0.5558643690939411,105.66981656475821,130.92286501377413
2020-06-09,0,189.4,189.9,0.0,0.5558643690939411,105.55864369093942,130.78512396694217
2020-06-10,0,188.1,193.7,0.0,0.5558643690939411,107.67092829349639,133.4022038567493
2020-06-12,0,193.0,196.8,0.0,0.5558643690939411,109.39410783768761,135.53719008264466
2020-06-15,0,202.0,197.6,0.0,0.5558643690939411,109.83879933296276,136.08815426997245
2020-06-16,0,198.2,197.8,0.0,0.5558643690939411,109.94997220678155,136.22589531680444
2020-06-17,0,199.9,199.0,0.0,0.5558643690939411,110.61700944969428,137.05234159779616
2020-06-18,0,195.9,195.9,0.0,0.5558643690939411,108.89382990550307,134.91735537190084
2020-06-19,0,202.8,202.8,0.0,0.5558643690939411,112.72929405225126,139.66942148760333
2020-06-22,0,203.8,202.2,0.0,0.5558643690939411,112.39577543079488,139.25619834710744
2020-06-23,0,207.8,205.8,0.0,0.5558643690939411,114.39688715953308,141.73553719008268
2020-06-24,0,199.8,201.0,0.0,0.5558643690939411,111.72873818788216,138.42975206611573
2020-06-25,0,197.3,198.0,0.0,0.5558643690939411,110.06114508060034,136.36363636363637
2020-06-26,0,198.3,201.2,0.0,0.5558643690939411,111.83991106170095,138.56749311294766
2020-06-29,0,197.7,198.1,0.0,0.5558643690939411,110.11673151750973,136.43250688705234
2020-06-30,0,198.2,200.6,0.0,0.5558643690939411,111.50639244024458,138.1542699724518
2020-07-01,0,197.7,199.1,0.0,0.5558643690939411,110.67259588660367,137.12121212121212
2020-07-02,0,198.0,198.9,0.0,0.5558643690939411,110.56142301278489,136.9834710743802
2020-07-03,0,201.0,198.2,0.0,0.5558643690939411,110.17231795441911,136.50137741046834
2020-07-06,0,203.0,201.8,0.0,0.5558643690939411,112.17342968315732,138.98071625344355
2020-07-07,0,203.2,203.0,0.0,0.5558643690939411,112.84046692607005,139.80716253443526
2020-07-08,0,200.0,199.0,0.0,0.5558643690939411,110.61700944969428,137.05234159779616
2020-07-09,0,196.5,196.2,0.0,0.5558643690939411,109.06058921623124,135.12396694214877
2020-07-10,0,202.2,201.8,0.0,0.5558643690939411,112.17342968315732,138.98071625344355
2020-07-13,0,202.4,203.2,0.0,0.5558643690939411,112.95163979988882,139.94490358126723
2020-07-14,0,201.0,200.0,0.0,0.5558643690939411,111.17287381878822,137.74104683195594
2020-07-15,0,201.4,201.0,0.0,0.5558643690939411,111.72873818788216,138.42975206611573
2020-07-16,0,200.0,199.6,0.0,0.5558643690939411,110.95052807115064,137.46556473829202
2020-07-17,0,201.0,202.0,0.0,0.5558643690939411,112.2846025569761,139.1184573002755
2020-07-20,0,201.4,200.4,0.0,0.5558643690939411,111.3952195664258,138.01652892561987
2020-07-21,0,200.8,201.2,0.0,0.5558643690939411,111.83991106170095,138.56749311294766
2020-07-22,0,206.4,205.8,0.0,0.5558643690939411,114.39688715953308,141.73553719008268
2020-07-23,0,202.2,206.4,0.0,0.5558643690939411,114.73040578098944,142.14876033057854
2020-07-24,0,201.4,200.0,0.0,0.5558643690939411,111.17287381878822,137.74104683195594
2020-07-27,0,199.3,199.7,0.0,0.5558643690939411,111.00611450806004,137.53443526170798
2020-07-28,0,200.8,199.5,0.0,0.5558643690939411,110.89494163424125,137.39669421487605
2020-07-29,0,202.0,202.8,0.0,0.5558643690939411,112.72929405225126,139.66942148760333
2020-07-30,0,202.8,200.2,0.0,0.5558643690939411,111.284046692607,137.87878787878788
2020-07-31,0,209.0,207.8,0.0,0.5558643690939411,115.50861589772097,143.11294765840222
2020-08-03,0,227.0,226.6,0.0,0.5558643690939411,125.95886603668706,156.06060606060606
2020-08-04,0,216.4,216.4,0.0,0.5558643690939411,120.28904947192886,149.03581267217632
2020-08-05,0,216.4,215.6,0.0,0.5558643690939411,119.8443579766537,148.4848484848485
2020-08-06,0,223.8,223.8,0.0,0.5558643690939411,124.40244580322403,154.1322314049587
2020-08-07,0,227.4,227.4,0.0,0.5558643690939411,126.4035575319622,156.6115702479339
2020-08-10,0,222.8,220.4,0.0,0.5558643690939411,122.51250694830462,151.79063360881545
2020-08-11,0,220.0,219.0,0.0,0.5558643690939411,121.7342968315731,150.82644628099175
2020-08-12,0,217.2,216.0,0.0,0.5558643690939411,120.06670372429127,148.76033057851242
2020-08-13,0,227.0,225.8,0.0,0.5558643690939411,125.5141745414119,155.50964187327827
2020-08-14,0,230.0,229.6,0.0,0.5558643690939411,127.62645914396887,158.1267217630854
2020-08-17,0,232.0,233.6,0.0,0.5558643690939411,129.84991662034463,160.88154269972452
2020-08-18,0,236.4,235.2,0.0,0.5558643690939411,130.73929961089493,161.98347107438016
2020-08-19,0,238.2,238.0,0.0,0.5558643690939411,132.295719844358,163.91184573002758
2020-08-20,0,240.0,235.8,0.0,0.5558643690939411,131.07281823235132,162.39669421487605
2020-08-21,0,241.2,238.6,0.0,0.5558643690939411,132.62923846581435,164.32506887052344
2020-08-24,0,242.4,241.6,0.0,0.5558643690939411,134.29683157309617,166.39118457300276
2020-08-25,0,240.4,240.4,0.0,0.5558643690939411,133.62979433018344,165.56473829201104
2020-08-26,0,238.2,238.6,0.0,0.5558643690939411,132.62923846581435,164.32506887052344
2020-08-27,0,231.6,231.0,0.0,0.5558643690939411,128.4046692607004,159.09090909090912
2020-08-28,0,227.0,227.0,0.0,0.5558643690939411,126.18121178432463,156.33608815427
2020-08-31,0,224.0,223.6,0.0,0.5558643690939411,124.29127292940522,153.99449035812674
2020-09-01,0,222.4,218.0,0.0,0.5558643690939411,121.17843246247917,150.13774104683196
2020-09-02,0,225.0,223.0,0.0,0.5558643690939411,123.95775430794886,153.58126721763088
2020-09-03,0,216.0,218.0,0.0,0.5558643690939411,121.17843246247917,150.13774104683196
2020-09-04,0,222.2,221.0,0.0,0.5558643690939411,122.84602556976098,152.2038567493113
2020-09-07,0,220.0,219.4,0.0,0.5558643690939411,121.95664257921068,151.10192837465567
2020-09-08,0,220.0,218.0,0.0,0.5558643690939411,121.17843246247917,150.13774104683196
2020-09-09,0,221.8,221.8,0.0,0.5558643690939411,123.29071706503615,152.75482093663913
2020-09-10,-1,223.4,221.0,0.0,0.5558643690939411,122.84602556976098,152.2038567493113
2020-09-11,0,220.4,220.0,124.18010005558645,0.0,124.18010005558645,151.51515151515153
2020-09-14,0,220.0,221.0,124.18010005558645,0.0,124.18010005558645,152.2038567493113
2020-09-15,0,225.0,222.2,124.18010005558645,0.0,124.18010005558645,153.03030303030303
2020-09-16,0,232.0,224.4,124.18010005558645,0.0,124.18010005558645,154.54545454545456
2020-09-17,0,231.2,229.8,124.18010005558645,0.0,124.18010005558645,158.26446280991738
2020-09-18,0,233.4,238.2,124.18010005558645,0.0,124.18010005558645,164.0495867768595
2020-09-21,0,224.0,223.0,124.18010005558645,0.0,124.18010005558645,153.58126721763088
2020-09-22,0,226.6,224.0,124.18010005558645,0.0,124.18010005558645,154.26997245179064
2020-09-23,0,230.6,233.0,124.18010005558645,0.0,124.18010005558645,160.46831955922866
2020-09-24,0,229.2,229.2,124.18010005558645,0.0,124.18010005558645,157.8512396694215
2020-09-25,1,226.0,224.2,124.18010005558645,0.0,124.18010005558645,154.4077134986226
2020-09-28,0,226.2,229.0,0.0,0.5494694692725064,125.82850846340396,157.71349862258955
2020-09-29,0,230.2,228.6,0.0,0.5494694692725064,125.60872067569495,157.43801652892563
2020-09-30,0,231.0,227.8,0.0,0.5494694692725064,125.16914510027696,156.8870523415978
2020-10-01,0,229.0,230.0,0.0,0.5494694692725064,126.37797793267647,158.40220385674934
2020-10-02,0,228.0,227.0,0.0,0.5494694692725064,124.72956952485895,156.33608815427
2020-10-05,0,226.6,227.4,0.0,0.5494694692725064,124.94935731256795,156.6115702479339
2020-10-06,0,227.0,226.8,0.0,0.5494694692725064,124.61967563100445,156.19834710743805
2020-10-07,0,222.2,222.2,0.0,0.5494694692725064,122.09211607235092,153.03030303030303
2020-10-08,0,216.2,217.4,0.0,0.5494694692725064,119.45466261984289,149.7245179063361
2020-10-09,0,215.0,215.2,0.0,0.5494694692725064,118.24582978744337,148.20936639118457
2020-10-12,0,215.4,217.0,0.0,0.5494694692725064,119.23487483213388,149.44903581267218
2020-10-13,0,211.0,214.6,0.0,0.5494694692725064,117.91614810587987,147.79614325068871
2020-10-14,0,220.0,216.2,0.0,0.5494694692725064,118.79529925671588,148.89807162534436
2020-10-15,0,226.6,224.8,0.0,0.5494694692725064,123.52073669245944,154.8209366391185
2020-10-16,0,238.8,238.8,0.0,0.5494694692725064,131.21330926227452,164.4628099173554
2020-10-19,-1,234.0,234.2,0.0,0.5494694692725064,128.68574970362098,161.2947658402204
2020-10-20,0,232.8,234.6,128.5758558097665,0.0,128.5758558097665,161.5702479338843
2020-10-21,0,228.4,230.0,128.5758558097665,0.0,128.5758558097665,158.40220385674934
2020-10-22,0,227.0,226.8,128.5758558097665,0.0,128.5758558097665,156.19834710743805
2020-10-23,0,222.2,224.4,128.5758558097665,0.0,128.5758558097665,154.54545454545456
2020-10-26,1,219.0,220.2,128.5758558097665,0.0,128.5758558097665,151.6528925619835
2020-10-27,0,220.0,221.8,0.0,0.5871043644281575,130.21974803016533,152.75482093663913
2020-10-28,0,217.0,217.4,0.0,0.5871043644281575,127.63648882668144,149.7245179063361
2020-10-29,0,211.0,213.6,0.0,0.5871043644281575,125.40549224185443,147.10743801652893
2020-10-30,0,218.8,217.4,0.0,0.5871043644281575,127.63648882668144,149.7245179063361
2020-11-02,0,226.0,226.6,0.0,0.5871043644281575,133.0378489794205,156.06060606060606
2020-11-03,0,221.0,224.2,0.0,0.5871043644281575,131.6287985047929,154.4077134986226
2020-11-04,0,232.4,229.8,0.0,0.5871043644281575,134.9165829455906,158.26446280991738
2020-11-05,0,251.0,246.0,0.0,0.5871043644281575,144.42767364932675,169.4214876033058
2020-11-06,0,277.8,275.0,0.0,0.5871043644281575,161.45370021774332,189.3939393939394
2020-11-09,0,261.0,260.0,0.0,0.5871043644281575,152.64713475132095,179.0633608815427
2020-11-10,0,259.0,266.0,0.0,0.5871043644281575,156.1697609378899,183.1955922865014
2020-11-12,0,258.4,257.6,0.0,0.5871043644281575,151.23808427669337,177.41046831955927
2020-11-13,0,267.6,265.2,0.0,0.5871043644281575,155.70007744634736,182.64462809917356
2020-11-16,0,268.4,271.0,0.0,0.5871043644281575,159.1052827600307,186.6391184573003
2020-11-17,0,271.8,270.4,0.0,0.5871043644281575,158.75302014137378,186.2258953168044
2020-11-18,0,270.4,274.8,0.0,0.5871043644281575,161.3362793448577,189.25619834710747
2020-11-19,0,267.0,268.0,0.0,0.5871043644281575,157.3439696667462,184.57300275482095
2020-11-20,0,269.2,272.2,0.0,0.5871043644281575,159.80980799734448,187.46556473829202
2020-11-23,0,263.0,260.0,0.0,0.5871043644281575,152.64713475132095,179.0633608815427
