Date,Signal,Next Day Open,Close,Cash,Stocks,Equity,Buy & Hold
2020-01-02,0,23.96,24.24,100.0,0.0,100.0,100.0
2020-01-03,0,23.74,23.28,100.0,0.0,100.0,96.03960396039605
2020-01-07,0,23.98,24.22,100.0,0.0,100.0,99.91749174917493
2020-01-08,0,22.3,21.88,100.0,0.0,100.0,90.26402640264027
2020-01-09,0,22.94,22.44,100.0,0.0,100.0,92.57425742574259
2020-01-10,0,22.9,22.54,100.0,0.0,100.0,92.98679867986799
2020-01-13,0,22.86,22.7,100.0,0.0,100.0,93.64686468646865
2020-01-14,0,23.7,23.64,100.0,0.0,100.0,97.52475247524754
2020-01-15,0,23.7,23.58,100.0,0.0,100.0,97.27722772277228
2020-01-16,0,22.9,23.1,100.0,0.0,100.0,95.2970297029703
2020-01-17,0,22.9,22.68,100.0,0.0,100.0,93.56435643564357
2020-01-20,0,21.5,21.64,100.0,0.0,100.0,89.27392739273928
2020-01-21,0,21.12,21.14,100.0,0.0,100.0,87.21122112211222
2020-01-22,0,20.8,20.94,100.0,0.0,100.0,86.3861386138614
2020-01-23,0,20.58,20.56,100.0,0.0,100.0,84.81848184818482
2020-01-24,0,20.38,20.54,100.0,0.0,100.0,84.73597359735975
2020-01-27,0,19.36,19.2,100.0,0.0,100.0,79.20792079207921
2020-01-28,0,20.32,20.14,100.0,0.0,100.0,83.0858085808581
2020-01-29,0,19.5,19.99,100.0,0.0,100.0,82.46699669966996
2020-01-30,0,19.25,19.25,100.0,0.0,100.0,79.41419141914193
2020-01-31,0,18.8,18.8,100.0,0.0,100.0,77.55775577557756
2020-02-03,0,20.3,19.71,100.0,0.0,100.0,81.31188118811882
2020-02-04,0,19.71,19.78,100.0,0.0,100.0,81.60066006600661
2020-02-05,0,19.27,19.24,100.0,0.0,100.0,79.37293729372938
2020-02-06,0,18.95,18.89,100.0,0.0,100.0,77.92904290429044
2020-02-07,0,19.0,18.79,100.0,0.0,100.0,77.51650165016503
2020-02-10,0,18.38,18.2,100.0,0.0,100.0,75.08250825082509
2020-02-11,0,18.56,18.35,100.0,0.0,100.0,75.70132013201321
2020-02-12,0,18.68,18.84,100.0,0.0,100.0,77.72277227722773
2020-02-13,0,18.1,18.02,100.0,0.0,100.0,74.33993399339934
2020-02-14,0,17.94,17.88,100.0,0.0,100.0,73.76237623762377
2020-02-17,0,18.12,18.3,100.0,0.0,100.0,75.4950495049505
2020-02-18,0,17.84,17.85,100.0,0.0,100.0,73.63861386138615
2020-02-19,0,17.1,17.18,100.0,0.0,100.0,70.87458745874588
2020-02-20,0,16.0,16.01,100.0,0.0,100.0,66.04785478547856
