Date,Signal,Next Day Open,Close,Cash,Stocks,Equity,Buy & Hold
2020-01-02,0,153.75,154.13,100.0,0.0,100.0,100.0
2020-01-03,0,153.01,153.01,100.0,0.0,100.0,99.27334068643353
2020-01-07,0,153.57,153.67,100.0,0.0,100.0,99.7015506390709
2020-01-08,0,154.67,153.39,100.0,0.0,100.0,99.51988581067928
2020-01-09,0,157.25,156.51,100.0,0.0,100.0,101.54415104132875
2020-01-10,0,157.35,156.79,100.0,0.0,100.0,101.72581586972036
2020-01-13,0,161.12,161.12,100.0,0.0,100.0,104.53513268020502
2020-01-14,0,157.25,157.89,100.0,0.0,100.0,102.439499124116
2020-01-15,0,158.35,158.17,100.0,0.0,100.0,102.62116395250762
2020-01-16,0,154.49,155.13,100.0,0.0,100.0,100.6488029585415
2020-01-17,0,154.21,154.31,100.0,0.0,100.0,100.11678453253747
2020-01-20,0,153.11,153.29,100.0,0.0,100.0,99.45500551482515
2020-01-21,0,154.67,153.47,100.0,0.0,100.0,99.57179004736261
2020-01-22,0,148.41,150.53,100.0,0.0,100.0,97.66430934925063
2020-01-23,0,144.09,144.09,100.0,0.0,100.0,93.48601829624343
2020-01-24,0,148.33,147.31,100.0,0.0,100.0,95.57516382274703
2020-01-27,0,149.15,147.86,100.0,0.0,100.0,95.93200544994487
2020-01-28,0,151.91,151.36,100.0,0.0,100.0,98.20281580484009
2020-01-29,0,153.47,152.83,100.0,0.0,100.0,99.15655615389608
2020-01-30,0,152.65,152.19,100.0,0.0,100.0,98.74132226042951
2020-01-31,0,150.07,150.53,100.0,0.0,100.0,97.66430934925063
2020-02-03,0,147.31,149.33,100.0,0.0,100.0,96.88574579900086
2020-02-04,0,148.41,148.79,100.0,0.0,100.0,96.53539220138843
2020-02-05,0,151.91,150.99,100.0,0.0,100.0,97.96275871017973
2020-02-06,0,154.03,154.03,100.0,0.0,100.0,99.93511970414585
2020-02-07,0,157.81,156.33,100.0,0.0,100.0,101.4273665087913
2020-02-10,0,153.75,153.75,100.0,0.0,100.0,99.75345487575423
2020-02-11,0,159.27,159.27,100.0,0.0,100.0,103.33484720690328
2020-02-12,0,157.35,159.74,100.0,0.0,100.0,103.63978459741777
2020-02-13,0,144.64,142.8,100.0,0.0,100.0,92.64906247972492
2020-02-14,0,145.83,144.45,100.0,0.0,100.0,93.71958736131836
2020-02-17,0,148.05,148.05,100.0,0.0,100.0,96.05527801206775
2020-02-18,0,148.23,147.49,100.0,0.0,100.0,95.69194835528451
2020-02-19,0,150.07,150.44,100.0,0.0,100.0,97.6059170829819
2020-02-20,0,153.75,153.75,100.0,0.0,100.0,99.75345487575423
2020-02-21,0,150.53,151.82,100.0,0.0,100.0,98.50126516576915
2020-02-24,0,144.55,146.11,100.0,0.0,100.0,94.79660027249726
