Date,Signal,Next Day Open,Close,Cash,Stocks,Equity,Buy & Hold
2020-01-02,0,273.37,272.192,100.0,0.0,100.0,100.0
2020-01-03,0,271.799,270.237,100.0,0.0,100.0,99.28175699506231
2020-01-07,0,276.512,274.941,100.0,0.0,100.0,101.00994885962848
2020-01-08,0,278.868,278.868,100.0,0.0,100.0,102.45268046085116
2020-01-09,0,278.083,276.914,100.0,0.0,100.0,101.73480484363976
2020-01-10,0,281.224,280.439,100.0,0.0,100.0,103.0298465788855
2020-01-13,0,280.439,280.439,100.0,0.0,100.0,103.0298465788855
2020-01-14,0,281.224,279.654,100.0,0.0,100.0,102.74144721373148
2020-01-15,0,273.37,273.37,100.0,0.0,100.0,100.43278274159417
2020-01-16,0,276.512,277.297,100.0,0.0,100.0,101.87551434281684
2020-01-17,0,274.941,276.512,100.0,0.0,100.0,101.58711497766282
2020-01-20,0,279.654,279.654,100.0,0.0,100.0,102.74144721373148
2020-01-21,0,271.799,272.584,100.0,0.0,100.0,100.14401598871385
2020-01-22,0,274.155,274.155,100.0,0.0,100.0,100.72118210674816
2020-01-23,0,278.083,278.083,100.0,0.0,100.0,102.16428109569716
2020-01-24,0,274.548,273.37,100.0,0.0,100.0,100.43278274159417
2020-01-27,0,272.584,272.584,100.0,0.0,100.0,100.14401598871385
2020-01-28,0,274.941,274.155,100.0,0.0,100.0,100.72118210674816
2020-01-29,0,276.512,276.914,100.0,0.0,100.0,101.73480484363976
2020-01-30,0,276.512,276.512,100.0,0.0,100.0,101.58711497766282
2020-01-31,0,285.161,284.366,100.0,0.0,100.0,104.47257818010814
2020-02-03,0,290.257,289.079,100.0,0.0,100.0,106.20407653421114
2020-02-04,0,301.263,302.039,100.0,0.0,100.0,110.9654214671996
2020-02-05,0,308.716,309.109,100.0,0.0,100.0,113.56285269221725
2020-02-06,0,312.652,311.867,100.0,0.0,100.0,114.57610804138255
2020-02-07,0,303.61,304.396,100.0,0.0,100.0,111.83135433811427
2020-02-10,0,305.967,302.834,100.0,0.0,100.0,111.25749470961674
2020-02-11,0,306.369,304.798,100.0,0.0,100.0,111.97904420409122
2020-02-12,0,315.009,314.214,100.0,0.0,100.0,115.43836703503409
2020-02-13,0,316.963,314.214,100.0,0.0,100.0,115.43836703503409
2020-02-14,0,314.214,314.214,100.0,0.0,100.0,115.43836703503409
2020-02-17,0,314.214,313.821,100.0,0.0,100.0,115.29398365859393
2020-02-18,0,309.903,309.903,100.0,0.0,100.0,113.85455854690807
2020-02-19,0,317.356,317.356,100.0,0.0,100.0,116.59269927110275
2020-02-20,0,315.785,315.009,100.0,0.0,100.0,115.73044027745121
2020-02-21,0,309.109,312.652,100.0,0.0,100.0,114.86450740653655
2020-02-24,0,303.61,304.003,100.0,0.0,100.0,111.68697096167409
2020-02-25,0,296.148,300.861,100.0,0.0,100.0,110.53263872560544
2020-02-26,0,298.514,298.514,100.0,0.0,100.0,109.67037973195391
2020-02-27,0,274.941,290.257,100.0,0.0,100.0,106.6368592758053
2020-02-28,0,276.119,285.937,100.0,0.0,100.0,105.04974429814249
2020-03-02,0,284.366,279.654,100.0,0.0,100.0,102.74144721373148
2020-03-03,0,299.29,299.29,100.0,0.0,100.0,109.95547260757112
2020-03-04,0,302.432,299.29,100.0,0.0,100.0,109.95547260757112
2020-03-05,0,290.65,294.577,100.0,0.0,100.0,108.22397425346813
2020-03-06,0,279.654,289.874,100.0,0.0,100.0,106.49614977662826
2020-03-09,0,267.086,274.941,100.0,0.0,100.0,101.00994885962848
2020-03-10,0,274.941,276.512,100.0,0.0,100.0,101.58711497766282
2020-03-11,0,263.944,274.941,100.0,0.0,100.0,101.00994885962848
2020-03-12,0,221.529,227.813,100.0,0.0,100.0,83.69570009405125
2020-03-13,0,243.522,246.664,100.0,0.0,100.0,90.62132612273687
2020-03-16,0,236.453,233.311,100.0,0.0,100.0,85.71559781330825
2020-03-17,0,245.477,245.093,100.0,0.0,100.0,90.04416000470255
2020-03-18,0,244.308,244.308,100.0,0.0,100.0,89.75576063954854
2020-03-19,0,256.875,247.449,100.0,0.0,100.0,90.9097254878909
2020-03-20,0,243.522,245.878,100.0,0.0,100.0,90.33255936985655
2020-03-23,0,242.737,235.658,100.0,0.0,100.0,86.57785680695979
2020-03-24,0,249.806,242.737,100.0,0.0,100.0,89.17859452151421
2020-03-25,0,257.66,255.304,100.0,0.0,100.0,93.79555607806253
2020-03-26,0,259.231,256.09,100.0,0.0,100.0,94.08432283094285
2020-03-27,0,255.304,252.555,100.0,0.0,100.0,92.78560721843404
2020-03-30,0,250.591,246.664,100.0,0.0,100.0,90.62132612273687
2020-03-31,0,249.02,249.02,100.0,0.0,100.0,91.48689160592522
2020-04-01,0,246.664,246.664,100.0,0.0,100.0,90.62132612273687
2020-04-02,0,255.304,255.304,100.0,0.0,100.0,93.79555607806253
2020-04-03,0,257.66,255.697,100.0,0.0,100.0,93.93993945450269
2020-04-06,-1,263.159,266.301,100.0,0.0,100.0,97.83571890430284
2020-04-07,0,269.05,271.013,100.0,0.0,100.0,99.5668498706795
2020-04-08,0,268.657,264.337,100.0,0.0,100.0,97.11416940982835
2020-04-09,0,271.013,269.442,100.0,0.0,100.0,98.98968375264519
2020-04-14,0,285.937,284.366,100.0,0.0,100.0,104.47257818010814
2020-04-15,0,274.155,274.155,100.0,0.0,100.0,100.72118210674816
2020-04-16,0,279.654,275.726,100.0,0.0,100.0,101.2983482247825
2020-04-17,0,274.941,276.914,100.0,0.0,100.0,101.73480484363976
2020-04-20,0,276.512,276.512,100.0,0.0,100.0,101.58711497766282
2020-04-21,0,265.515,265.908,100.0,0.0,100.0,97.69133552786268
2020-04-22,0,278.083,272.584,100.0,0.0,100.0,100.14401598871385
2020-04-23,0,280.439,280.439,100.0,0.0,100.0,103.0298465788855
2020-04-24,0,280.439,280.439,100.0,0.0,100.0,103.0298465788855
2020-04-27,0,282.795,279.654,100.0,0.0,100.0,102.74144721373148
2020-04-28,0,282.403,281.224,100.0,0.0,100.0,103.31824594403949
2020-04-29,0,286.33,283.188,100.0,0.0,100.0,104.03979543851398
2020-04-30,1,287.115,286.33,100.0,0.0,100.0,105.19412767458263
2020-05-04,0,282.795,283.581,0.0,0.34829249603817286,98.76913431900111,104.18417881495415
2020-05-05,0,284.366,284.366,0.0,0.34829249603817286,99.04254392839105,104.47257818010814
2020-05-06,0,285.937,284.759,0.0,0.34829249603817286,99.17942287933407,104.61696155654832
2020-05-07,0,285.937,285.545,0.0,0.34829249603817286,99.45318078122007,104.90572830942864
2020-05-08,0,281.626,283.581,0.0,0.34829249603817286,98.76913431900111,104.18417881495415
2020-05-11,0,279.261,279.654,0.0,0.34829249603817286,97.4013896870592,102.74144721373148
2020-05-12,0,278.868,281.224,0.0,0.34829249603817286,97.94820890583912,103.31824594403949
2020-05-13,0,271.013,274.941,0.0,0.34829249603817286,95.75988715323128,101.00994885962848
2020-05-14,0,259.231,257.66,0.0,0.34829249603817286,89.74104452919563,94.66112156125088
2020-05-15,0,261.588,258.446,0.0,0.34829249603817286,90.01480243108163,94.9498883141312
2020-05-18,0,260.802,260.802,0.0,0.34829249603817286,90.83537955174756,95.81545379731953
2020-05-19,0,260.802,260.802,0.0,0.34829249603817286,90.83537955174756,95.81545379731953
2020-05-20,0,260.41,260.41,0.0,0.34829249603817286,90.6988488933006,95.67143780860569
2020-05-21,0,260.802,260.41,0.0,0.34829249603817286,90.6988488933006,95.67143780860569
2020-05-22,0,274.548,271.013,0.0,0.34829249603817286,94.39179422879333,99.5668498706795
2020-05-25,0,274.941,272.977,0.0,0.34829249603817286,95.0758406910123,100.28839936515399
2020-05-26,0,274.941,274.941,0.0,0.34829249603817286,95.75988715323128,101.00994885962848
2020-05-27,0,273.37,273.37,0.0,0.34829249603817286,95.21271964195532,100.43278274159417
2020-05-28,0,267.086,265.515,0.0,0.34829249603817286,92.47688208557547,97.54695215142252
2020-05-29,0,271.799,266.301,0.0,0.34829249603817286,92.75063998746147,97.83571890430284
2020-06-01,0,279.261,278.083,0.0,0.34829249603817286,96.85422217578324,102.16428109569716
2020-06-02,0,281.224,281.224,0.0,0.34829249603817286,97.94820890583912,103.31824594403949
2020-06-03,0,279.654,279.261,0.0,0.34829249603817286,97.2645107361162,102.59706383729133
2020-06-04,0,284.366,285.161,0.0,0.34829249603817286,99.31943646274141,104.76465142252528
2020-06-05,0,291.445,290.65,0.0,0.34829249603817286,101.23121397349493,106.78124265224545
2020-06-08,0,291.445,290.65,0.0,0.34829249603817286,101.23121397349493,106.78124265224545
2020-06-09,0,293.006,290.65,0.0,0.34829249603817286,101.23121397349493,106.78124265224545
2020-06-10,0,275.726,292.221,0.0,0.34829249603817286,101.77838148477092,107.3584087702798
2020-06-12,0,296.148,293.792,0.0,0.34829249603817286,102.32554899604688,107.93557488831411
2020-06-15,0,288.303,287.508,0.0,0.34829249603817286,100.136878950943,105.6269104161768
2020-06-16,0,293.006,292.221,0.0,0.34829249603817286,101.77838148477092,107.3584087702798
2020-06-17,0,301.656,302.039,0.0,0.34829249603817286,105.19791721087368,110.9654214671996
2020-06-18,0,296.934,298.897,0.0,0.34829249603817286,104.10358218832175,109.81108923113095
2020-06-19,0,300.085,300.861,0.0,0.34829249603817286,104.78762865054073,110.53263872560544
2020-06-22,0,295.363,294.979,0.0,0.34829249603817286,102.73897218884419,108.37166411944509
