Date,Signal,Next Day Open,Close,Cash,Stocks,Equity,Buy & Hold
2020-01-02,0,8129.81,8246.35,100.0,0.0,100.0,100.0
2020-01-03,0,8181.09,8227.7,100.0,0.0,100.0,99.77383933497852
2020-01-07,0,8017.93,8148.46,100.0,0.0,100.0,98.81292935662444
2020-01-08,0,8195.07,8064.55,100.0,0.0,100.0,97.79538826268592
2020-01-09,0,8064.55,8115.82,100.0,0.0,100.0,98.41711787639379
2020-01-10,0,8111.17,8120.49,100.0,0.0,100.0,98.47374899197827
2020-01-13,0,8078.54,8162.45,100.0,0.0,100.0,98.98258017183359
2020-01-14,0,8092.52,8120.49,100.0,0.0,100.0,98.47374899197827
2020-01-15,0,8176.43,8139.13,100.0,0.0,100.0,98.69978839122763
2020-01-16,0,8097.18,8111.17,100.0,0.0,100.0,98.36072929235358
2020-01-17,0,8148.46,8148.46,100.0,0.0,100.0,98.81292935662444
2020-01-20,0,8078.54,8120.49,100.0,0.0,100.0,98.47374899197827
2020-01-21,0,8064.55,8017.93,100.0,0.0,100.0,97.23004723301824
2020-01-22,0,8050.57,8050.57,100.0,0.0,100.0,97.62585871324889
2020-01-23,0,8031.91,8031.91,100.0,0.0,100.0,97.39957678245527
2020-01-24,0,7906.05,8003.95,100.0,0.0,100.0,97.06051768358121
2020-01-27,0,7812.83,7817.49,100.0,0.0,100.0,94.79939609645479
2020-01-28,0,7817.49,7826.81,100.0,0.0,100.0,94.91241579607949
2020-01-29,0,7850.11,7957.33,100.0,0.0,100.0,96.49517665391355
2020-01-30,0,8073.87,7989.96,100.0,0.0,100.0,96.89086686837207
2020-01-31,0,7920.04,7892.07,100.0,0.0,100.0,95.70379622499651
2020-02-03,0,7924.71,7738.24,100.0,0.0,100.0,93.8383648523286
2020-02-04,0,8017.93,8027.26,100.0,0.0,100.0,97.34318819841505
2020-02-05,0,8106.51,8092.52,100.0,0.0,100.0,98.1345686273321
2020-02-06,0,7924.71,7887.41,100.0,0.0,100.0,95.64728637518417
2020-02-07,0,7910.72,7845.46,100.0,0.0,100.0,95.13857646110097
2020-02-10,0,7924.71,7854.78,100.0,0.0,100.0,95.25159616072565
2020-02-11,0,7808.16,7840.8,100.0,0.0,100.0,95.08206661128862
2020-02-12,0,7812.83,7850.11,100.0,0.0,100.0,95.19496504514117
2020-02-13,0,7906.05,7845.46,100.0,0.0,100.0,95.13857646110097
2020-02-14,0,7812.83,7770.87,100.0,0.0,100.0,94.23405506678712
2020-02-17,0,7691.62,7756.89,100.0,0.0,100.0,94.0645255173501
2020-02-18,0,7794.17,7794.17,100.0,0.0,100.0,94.51660431584882
2020-02-19,0,7822.14,7859.44,100.0,0.0,100.0,95.30810601053798
2020-02-20,0,7756.89,7756.89,100.0,0.0,100.0,94.0645255173501
2020-02-21,0,7561.1,7645.01,100.0,0.0,100.0,92.70780405876539
2020-02-24,0,7239.44,7192.83,100.0,0.0,100.0,87.22440837461421
2020-02-25,0,7015.69,6936.45,100.0,0.0,100.0,84.11539650875842
2020-02-26,0,6880.51,6852.54,100.0,0.0,100.0,83.09785541481989
2020-02-27,0,6339.76,6568.18,100.0,0.0,100.0,79.64954191854578
2020-02-28,0,6563.52,6433.0,100.0,0.0,100.0,78.01027121089936
2020-03-02,0,6433.0,6423.67,100.0,0.0,100.0,77.89713024550255
2020-03-03,0,6787.27,6871.18,100.0,0.0,100.0,83.32389481406926
2020-03-04,0,6731.33,6754.65,100.0,0.0,100.0,81.91078477144433
2020-03-05,0,6619.46,6628.78,100.0,0.0,100.0,80.38441249765047
2020-03-06,0,5938.86,6381.72,100.0,0.0,100.0,77.38842033141935
2020-03-09,0,5738.42,5780.37,100.0,0.0,100.0,70.09610312441262
2020-03-10,0,5593.9,5589.24,100.0,0.0,100.0,67.77835042170172
2020-03-11,0,4648.54,5174.36,100.0,0.0,100.0,62.74727606759354
2020-03-12,0,4432.23,4344.6,100.0,0.0,100.0,52.685127359377184
2020-03-13,0,4243.91,4476.99,100.0,0.0,100.0,54.290564916599465
2020-03-16,0,4148.82,4148.82,100.0,0.0,100.0,50.310986072626065
2020-03-17,0,4759.48,4661.58,100.0,0.0,100.0,56.529009804337676
2020-03-18,0,4383.76,4363.25,100.0,0.0,100.0,52.91128802439867
2020-03-19,0,4666.25,4475.12,100.0,0.0,100.0,54.26788821721125
2020-03-20,0,4480.72,4646.67,100.0,0.0,100.0,56.34820253809261
2020-03-23,0,4670.91,4570.22,100.0,0.0,100.0,55.42112571016268
2020-03-24,0,5095.12,5034.51,100.0,0.0,100.0,61.051374244362655
2020-03-25,0,4675.57,4852.71,100.0,0.0,100.0,58.846762507048574
2020-03-26,0,5174.36,5053.17,100.0,0.0,100.0,61.27765617515628
2020-03-27,0,4964.59,4866.7,100.0,0.0,100.0,59.01641332225772
2020-03-30,0,4876.02,4843.39,100.0,0.0,100.0,58.733742807423894
2020-03-31,0,4778.13,4876.02,100.0,0.0,100.0,59.12943302188241
2020-04-01,0,4568.36,4613.11,100.0,0.0,100.0,55.94123460682604
2020-04-02,0,4381.89,4419.19,100.0,0.0,100.0,53.58964875369102
2020-04-03,0,4624.3,4462.08,100.0,0.0,100.0,54.109757650354396
2020-04-06,-1,4894.67,4801.44,100.0,0.0,100.0,58.22503289334068
2020-04-07,0,4964.59,5067.15,100.0,0.0,100.0,61.4471857245933
2020-04-08,0,5006.54,5081.14,100.0,0.0,100.0,61.61683653980246
2020-04-09,1,5407.44,5253.61,100.0,0.0,100.0,63.70830731171972
2020-04-14,0,5402.79,5370.15,0.0,0.018493039220037578,99.31039456748479,65.12153862011677
2020-04-15,0,5360.83,5267.6,0.0,0.018493039220037578,97.41393339546995,63.87795812692889
2020-04-16,0,5202.33,5109.11,0.0,0.018493039220037578,94.48297160948619,61.95601690444863
2020-04-17,0,5482.03,5314.21,0.0,0.018493039220037578,98.27589395351589,64.44317789082443
2020-04-20,0,5318.88,5365.49,0.0,0.018493039220037578,99.22421700471942,65.06502877030444
2020-04-21,0,5169.7,5169.7,0.0,0.018493039220037578,95.60346485582826,62.690766217781196
2020-04-22,0,5304.89,5248.95,0.0,0.018493039220037578,97.06903821401625,63.651797461907385
2020-04-23,0,5435.41,5435.41,0.0,0.018493039220037578,100.51725030698445,65.91291904903382
2020-04-24,0,5631.2,5519.32,0.0,0.018493039220037578,102.0690012279378,66.93046014297234
2020-04-27,0,5496.01,5482.03,0.0,0.018493039220037578,101.3793957954226,66.47826007870148
2020-04-28,0,5673.15,5626.54,0.0,0.018493039220037578,104.05182489311024,68.23067175174471
2020-04-29,0,6479.61,6330.44,0.0,0.018493039220037578,117.06907520009467,76.76656945193933
2020-04-30,0,5966.83,6060.07,0.0,0.018493039220037578,112.06911218617311,73.48790677087437
