Date,Signal,Next Day Open,Close,Cash,Stocks,Equity,Buy & Hold
2020-01-02,0,6.80747,6.9175,100.0,0.0,100.0,100.0
2020-01-03,0,6.77398,6.7979,100.0,0.0,100.0,98.27105168052042
2020-01-07,0,6.86009,6.78834,100.0,0.0,100.0,98.13285146367907
2020-01-08,0,6.69744,6.67831,100.0,0.0,100.0,96.5422479219371
2020-01-09,0,6.86966,6.83617,100.0,0.0,100.0,98.82428623057463
2020-01-10,0,6.7692,6.87445,100.0,0.0,100.0,99.37766534152512
2020-01-13,0,6.75963,6.84096,100.0,0.0,100.0,98.89353089989157
2020-01-14,0,6.94142,6.98926,100.0,0.0,100.0,101.03736899168774
2020-01-15,0,7.08015,7.06102,100.0,0.0,100.0,102.0747379833755
2020-01-16,0,7.40067,7.42938,100.0,0.0,100.0,107.39978315865558
2020-01-17,0,7.55854,7.52505,100.0,0.0,100.0,108.78279725334296
2020-01-20,0,7.32413,7.42459,100.0,0.0,100.0,107.33053848933864
2020-01-21,0,7.29064,7.29064,100.0,0.0,100.0,105.39414528370075
2020-01-22,0,7.08494,7.11842,100.0,0.0,100.0,102.90451752800867
2020-01-23,0,7.05623,7.08494,100.0,0.0,100.0,102.4205276472714
2020-01-24,0,6.85531,6.99404,100.0,0.0,100.0,101.10646910010841
2020-01-27,0,6.7405,6.75006,100.0,0.0,100.0,97.57947235272859
2020-01-28,0,6.86009,6.8888,100.0,0.0,100.0,99.5851102276834
2020-01-29,0,6.84574,6.93664,100.0,0.0,100.0,100.27668955547523
2020-01-30,0,6.66874,6.78355,100.0,0.0,100.0,98.06360679436212
2020-01-31,0,6.74528,6.70223,100.0,0.0,100.0,96.88803758583303
2020-02-03,0,6.50609,6.57306,100.0,0.0,100.0,95.02074448861582
2020-02-04,0,6.48695,6.55392,100.0,0.0,100.0,94.74405493314057
2020-02-05,0,6.60176,6.52522,100.0,0.0,100.0,94.32916516082399
2020-02-06,0,6.50609,6.54436,100.0,0.0,100.0,94.60585471629923
2020-02-07,0,6.57784,6.57306,100.0,0.0,100.0,95.02074448861582
2020-02-10,0,6.78834,6.69744,100.0,0.0,100.0,96.81879291651609
2020-02-11,0,6.77398,6.77398,100.0,0.0,100.0,97.9252620166245
2020-02-12,0,6.81225,6.71658,100.0,0.0,100.0,97.09548247199133
2020-02-13,0,6.87445,6.80269,100.0,0.0,100.0,98.34029634983736
2020-02-14,0,6.96534,6.92707,100.0,0.0,100.0,100.13834477773761
2020-02-17,0,6.84096,6.95577,100.0,0.0,100.0,100.55323455005421
2020-02-18,0,6.96055,7.00839,100.0,0.0,100.0,101.31391398626671
2020-02-19,0,7.10407,7.07537,100.0,0.0,100.0,102.2821828695338
2020-02-20,0,7.09929,7.15191,100.0,0.0,100.0,103.38865196964221
2020-02-21,0,6.98447,7.12321,100.0,0.0,100.0,102.97376219732563
2020-02-24,0,6.8888,6.89358,100.0,0.0,100.0,99.65421033610409
2020-02-25,0,6.86966,6.87445,100.0,0.0,100.0,99.37766534152512
2020-02-26,0,6.53957,6.66395,100.0,0.0,100.0,96.33465847488253
2020-02-27,0,6.18078,6.29559,100.0,0.0,100.0,91.00961329960245
2020-02-28,0,6.0851,5.90332,100.0,0.0,100.0,85.33892302132273
2020-03-02,0,6.60176,6.12337,100.0,0.0,100.0,88.51998554391038
2020-03-03,0,6.30516,6.29081,100.0,0.0,100.0,90.94051319118178
2020-03-04,0,6.47738,6.40084,100.0,0.0,100.0,92.53111673292373
2020-03-05,0,6.09946,6.33865,100.0,0.0,100.0,91.63209251897362
2020-03-06,0,5.95594,6.31473,100.0,0.0,100.0,91.2863028550777
2020-03-09,0,6.21905,6.00378,100.0,0.0,100.0,86.79118178532707
2020-03-10,0,5.83634,5.82677,100.0,0.0,100.0,84.23230936031803
2020-03-11,0,5.45363,5.57323,100.0,0.0,100.0,80.56711239609685
2020-03-12,0,5.224,4.91784,100.0,0.0,100.0,71.09273581496205
2020-03-13,0,4.71117,4.9274,100.0,0.0,100.0,71.23093603180338
2020-03-16,0,5.50147,5.4345,100.0,0.0,100.0,78.5616190820383
2020-03-17,0,5.9081,6.0277,100.0,0.0,100.0,87.13697144922298
2020-03-18,0,6.03726,6.15208,100.0,0.0,100.0,88.93501987712322
2020-03-19,0,5.91288,6.18557,100.0,0.0,100.0,89.41915431875678
2020-03-20,0,6.12337,6.19035,100.0,0.0,100.0,89.48825442717744
2020-03-23,0,5.83634,5.63063,100.0,0.0,100.0,81.39689194073003
2020-03-24,0,5.7885,5.7311,100.0,0.0,100.0,82.84929526563064
2020-03-25,0,5.42493,5.53496,100.0,0.0,100.0,80.01387784604265
2020-03-26,0,5.60672,5.62585,100.0,0.0,100.0,81.32779183230936
2020-03-27,0,5.56366,5.59715,100.0,0.0,100.0,80.91290205999277
2020-03-30,0,5.70239,5.70239,100.0,0.0,100.0,82.43426093241779
2020-03-31,0,5.56366,5.67847,100.0,0.0,100.0,82.08847126852186
2020-04-01,0,5.48233,5.54452,100.0,0.0,100.0,80.15207806288399
2020-04-02,0,5.50147,5.57801,100.0,0.0,100.0,80.63621250451752
2020-04-03,0,5.82677,5.66891,100.0,0.0,100.0,81.95027105168052
2020-04-06,0,5.85548,5.80285,100.0,0.0,100.0,83.88651969642211
2020-04-07,0,5.83634,5.78372,100.0,0.0,100.0,83.60997470184314
2020-04-08,0,6.31473,6.21905,100.0,0.0,100.0,89.90314419949404
2020-04-09,0,6.49173,6.55871,100.0,0.0,100.0,94.81329960245752
2020-04-14,0,6.57306,6.57306,100.0,0.0,100.0,95.02074448861582
2020-04-15,0,6.42954,6.42954,100.0,0.0,100.0,92.94600650524033
2020-04-16,0,6.353,6.22862,100.0,0.0,100.0,90.04148897723165
2020-04-17,0,6.29081,6.33387,100.0,0.0,100.0,91.56299241055294
2020-04-20,0,6.58741,6.64003,100.0,0.0,100.0,95.98886881098663
2020-04-21,0,6.57306,6.5922,100.0,0.0,100.0,95.29743404409108
2020-04-22,0,6.74528,6.60176,100.0,0.0,100.0,95.4356342609324
2020-04-23,0,6.72136,6.74528,100.0,0.0,100.0,97.51037224430792
2020-04-24,0,6.67831,6.60176,100.0,0.0,100.0,95.4356342609324
2020-04-27,0,6.84096,6.81225,100.0,0.0,100.0,98.4784965666787
2020-04-28,0,6.79312,6.58741,100.0,0.0,100.0,95.22818937477412
2020-04-29,-1,6.61612,6.53001,100.0,0.0,100.0,94.39840983014093
2020-04-30,0,6.53957,6.67352,100.0,0.0,100.0,96.47300325262016
2020-05-04,0,6.65917,6.65439,100.0,0.0,100.0,96.1964582580412
2020-05-05,0,6.68787,6.58263,100.0,0.0,100.0,95.15908926635345
