Date,Signal,Next Day Open,Close,Cash,Stocks,Equity,Buy & Hold
2020-01-02,0,8.24,8.266,100.0,0.0,100.0,100.0
2020-01-03,0,8.196,8.15,100.0,0.0,100.0,98.5966610210501
2020-01-07,0,7.94,7.93,100.0,0.0,100.0,95.93515606097266
2020-01-08,0,7.986,7.83,100.0,0.0,100.0,94.72538107911929
2020-01-09,0,7.85,7.85,100.0,0.0,100.0,94.96733607548995
2020-01-10,0,7.862,7.806,100.0,0.0,100.0,94.43503508347447
2020-01-13,0,7.75,7.704,100.0,0.0,100.0,93.20106460198403
2020-01-14,0,7.9,7.862,100.0,0.0,100.0,95.11250907331237
2020-01-15,0,7.866,7.836,100.0,0.0,100.0,94.7979675780305
2020-01-16,0,7.74,7.722,100.0,0.0,100.0,93.41882409871765
2020-01-17,0,7.85,7.726,100.0,0.0,100.0,93.46721509799178
2020-01-20,0,7.7,7.68,100.0,0.0,100.0,92.91071860633922
2020-01-21,0,7.626,7.58,100.0,0.0,100.0,91.70094362448584
2020-01-22,0,7.4,7.44,100.0,0.0,100.0,90.00725864989113
2020-01-23,0,7.37,7.31,100.0,0.0,100.0,88.43455117348174
2020-01-24,0,7.4,7.44,100.0,0.0,100.0,90.00725864989113
2020-01-27,0,7.154,7.14,100.0,0.0,100.0,86.377933704331
2020-01-28,0,7.298,7.298,100.0,0.0,100.0,88.28937817565934
2020-01-29,0,7.216,7.28,100.0,0.0,100.0,88.07161867892573
2020-01-30,0,7.2,7.18,100.0,0.0,100.0,86.86184369707235
2020-01-31,0,6.94,6.86,100.0,0.0,100.0,82.99056375514155
2020-02-03,0,6.73,6.712,100.0,0.0,100.0,81.20009678199855
2020-02-04,0,6.57,6.55,100.0,0.0,100.0,79.24026131139608
2020-02-05,0,6.678,6.642,100.0,0.0,100.0,80.35325429470119
2020-02-06,0,6.474,6.434,100.0,0.0,100.0,77.83692233244616
2020-02-07,0,6.48,6.428,100.0,0.0,100.0,77.76433583353496
2020-02-10,0,6.468,6.418,100.0,0.0,100.0,77.64335833534963
2020-02-11,0,6.654,6.59,100.0,0.0,100.0,79.72417130413743
2020-02-12,0,6.436,6.5,100.0,0.0,100.0,78.6353738204694
2020-02-13,0,6.248,6.23,100.0,0.0,100.0,75.36898136946529
2020-02-14,0,6.128,6.106,100.0,0.0,100.0,73.86886039196709
2020-02-17,0,6.03,6.03,100.0,0.0,100.0,72.94943140575853
2020-02-18,0,5.93,5.912,100.0,0.0,100.0,71.52189692717155
2020-02-19,0,5.804,5.758,100.0,0.0,100.0,69.65884345511735
2020-02-20,0,5.6,5.6,100.0,0.0,100.0,67.74739898378901
2020-02-21,0,5.566,5.662,100.0,0.0,100.0,68.49745947253811
2020-02-24,0,5.448,5.448,100.0,0.0,100.0,65.9085410113719
2020-02-25,0,5.286,5.294,100.0,0.0,100.0,64.04548753931769
2020-02-26,0,5.1,5.15,100.0,0.0,100.0,62.30341156544883
2020-02-27,0,4.76,4.863,100.0,0.0,100.0,58.83135736752965
2020-02-28,0,4.7,4.47,100.0,0.0,100.0,54.07694168884587
2020-03-02,0,4.71,4.584,100.0,0.0,100.0,55.45608516815872
2020-03-03,0,4.85,4.854,100.0,0.0,100.0,58.72247761916284
2020-03-04,0,4.89,4.765,100.0,0.0,100.0,57.64577788531333
2020-03-05,0,4.5,4.55,100.0,0.0,100.0,55.044761674328576
2020-03-06,0,4.02,4.266,100.0,0.0,100.0,51.60900072586499
2020-03-09,0,4.002,3.96,100.0,0.0,100.0,47.90708928139366
2020-03-10,0,3.93,3.865,100.0,0.0,100.0,46.75780304863296
2020-03-11,0,3.3,3.525,100.0,0.0,100.0,42.64456811033148
2020-03-12,0,3.0,2.851,100.0,0.0,100.0,34.49068473263973
2020-03-13,0,2.805,2.805,100.0,0.0,100.0,33.934188240987176
2020-03-16,0,3.078,2.92,100.0,0.0,100.0,35.32542947011856
2020-03-17,0,3.52,3.45,100.0,0.0,100.0,41.73723687394145
2020-03-18,0,3.65,3.536,100.0,0.0,100.0,42.777643358335354
2020-03-19,0,4.3,4.036,100.0,0.0,100.0,48.826518267602225
2020-03-20,0,3.79,3.936,100.0,0.0,100.0,47.61674328574885
2020-03-23,0,3.97,3.676,100.0,0.0,100.0,44.47132833293008
2020-03-24,0,3.952,3.796,100.0,0.0,100.0,45.92305831115412
2020-03-25,0,3.7,3.745,100.0,0.0,100.0,45.30607307040891
2020-03-26,0,3.89,3.859,100.0,0.0,100.0,46.68521654972175
2020-03-27,0,3.77,3.74,100.0,0.0,100.0,45.24558432131624
2020-03-30,0,3.7,3.637,100.0,0.0,100.0,43.99951609000726
2020-03-31,0,3.73,3.807,100.0,0.0,100.0,46.056133559158
2020-04-01,0,3.845,3.85,100.0,0.0,100.0,46.57633680135495
2020-04-02,0,4.05,4.046,100.0,0.0,100.0,48.947495765787565
2020-04-03,0,4.15,4.05,100.0,0.0,100.0,48.9958867650617
2020-04-06,0,4.68,4.488,100.0,0.0,100.0,54.29470118557949
2020-04-07,0,4.58,4.567,100.0,0.0,100.0,55.25042342124365
2020-04-08,0,4.39,4.31,100.0,0.0,100.0,52.141301717880474
2020-04-09,0,4.5,4.457,100.0,0.0,100.0,53.919670941204934
2020-04-14,0,4.62,4.58,100.0,0.0,100.0,55.40769416888459
2020-04-15,0,4.59,4.54,100.0,0.0,100.0,54.923784176143236
2020-04-16,0,4.65,4.584,100.0,0.0,100.0,55.45608516815872
2020-04-17,0,4.48,4.47,100.0,0.0,100.0,54.07694168884587
2020-04-20,0,4.382,4.398,100.0,0.0,100.0,53.205903701911446
2020-04-21,0,4.1,4.1,100.0,0.0,100.0,49.600774255988384
2020-04-22,0,4.155,4.15,100.0,0.0,100.0,50.20566174691508
2020-04-23,-1,4.2,4.249,100.0,0.0,100.0,51.40333897894991
2020-04-24,0,4.15,4.053,100.0,0.0,100.0,49.0321800145173
2020-04-27,0,4.05,4.03,100.0,0.0,100.0,48.753931768691025
2020-04-28,0,4.049,3.998,100.0,0.0,100.0,48.366803774497946
2020-04-29,0,4.128,4.067,100.0,0.0,100.0,49.201548511976775
2020-04-30,0,4.06,4.122,100.0,0.0,100.0,49.86692475199613
2020-05-04,0,4.039,3.994,100.0,0.0,100.0,48.31841277522381
2020-05-05,0,3.92,3.9,100.0,0.0,100.0,47.181224292281634
2020-05-06,0,3.88,3.747,100.0,0.0,100.0,45.33026857004597
2020-05-07,0,3.893,3.819,100.0,0.0,100.0,46.201306556980406
2020-05-08,1,3.92,3.865,100.0,0.0,100.0,46.75780304863296
2020-05-11,0,3.86,3.825,0.0,25.510204081632654,97.57653061224491,46.273893055891605
2020-05-12,0,4.045,4.047,0.0,25.510204081632654,103.23979591836735,48.959593515606095
2020-05-13,0,4.02,4.039,0.0,25.510204081632654,103.03571428571428,48.86281151705783
2020-05-14,0,4.045,4.014,0.0,25.510204081632654,102.39795918367348,48.560367771594485
2020-05-15,0,4.12,4.07,0.0,25.510204081632654,103.82653061224491,49.23784176143238
2020-05-18,0,4.29,4.24,0.0,25.510204081632654,108.16326530612245,51.294459230583115
2020-05-19,0,4.33,4.33,0.0,25.510204081632654,110.4591836734694,52.383256714251154
2020-05-20,0,4.278,4.275,0.0,25.510204081632654,109.05612244897961,51.7178804742318
2020-05-21,0,4.2,4.25,0.0,25.510204081632654,108.41836734693878,51.41543672876845
2020-05-22,0,4.226,4.191,0.0,25.510204081632654,106.91326530612245,50.70166948947496
2020-05-25,0,4.31,4.232,0.0,25.510204081632654,107.9591836734694,51.19767723203485
2020-05-26,0,4.35,4.296,0.0,25.510204081632654,109.59183673469389,51.97193322042101
2020-05-27,0,4.507,4.441,0.0,25.510204081632654,113.29081632653062,53.726106944108395
2020-05-28,0,4.569,4.569,0.0,25.510204081632654,116.5561224489796,55.27461892088072
2020-05-29,0,4.853,4.836,0.0,25.510204081632654,123.36734693877553,58.50471812242923
2020-06-01,0,5.4,5.28,0.0,25.510204081632654,134.69387755102042,63.87611904185822
