Asset,Position,Entry Date,Entry Price,Exit Date,Exit Price
KGH,Long,2020-08-18,130.359,2020-08-26,129.01
KGH,Long,2020-09-02,131.369,2020-09-04,127.078
KGH,Long,2020-10-13,117.456,2020-10-22,125.738
KGH,Long,2020-10-28,119.864,2020-12-29,181.039
KGH,Long,2020-12-30,179.553,2021-01-15,196.883
KGH,Long,2021-02-03,177.718,2021-02-26,186.767
KGH,Long,2021-03-09,179.505,2021-03-12,182.146
KGH,Long,2021-03-23,173.291,2021-04-27,198.903
KGH,Long,2021-05-04,189.66,2021-05-14,215.175
KGH,Long,2021-05-26,189.126,2021-06-02,201.117
KGH,Long,2021-06-29,181.699,2021-07-01,182.524
KGH,Long,2021-07-05,186.893,2021-07-09,180.049
KGH,Long,2021-07-14,181.068,2021-08-06,191.262
KGH,Long,2021-10-13,158.252,2021-10-20,161.65
KGH,Long,2021-11-26,135.243,2021-12-03,141.553
KGH,Long,2021-12-23,135.34,2022-01-21,144.369
KGH,Long,2022-01-31,138.932,2022-02-08,135.631
KGH,Long,2022-02-09,138.932,2022-02-25,143.204
KGH,Long,2022-02-28,149.515,2022-03-28,170.874
KGH,Long,2022-05-18,125.534,2022-05-23,132.039
KGH,Long,2022-07-13,104.3,2022-07-19,101.0
KGH,Long,2022-08-03,110.0,2022-08-08,110.15
KGH,Long,2022-09-08,86.0,2022-09-16,89.5
KGH,Long,2022-10-05,97.0,2022-11-22,110.0
KGH,Long,2022-11-28,114.4,2022-12-06,120.0
KGH,Long,2022-12-14,127.5,2023-01-17,149.1
KGH,Long,2023-01-25,148.0,2023-02-01,141.0
KGH,Long,2023-02-09,140.05,2023-02-27,123.55
KGH,Long,2023-03-03,,2023-03-09,
